Summary,Description,Issue Type,Priority,Component/s,Status
failed update,try update application options update menu get following errormethod found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptions,bug,Low,General,Closed
broken link,link broken working,bug,High,REST,Gathering Impact
unable log sourcetree,first time trying log sourcetree since getting atlassian account unable log atlassian account app windows device refreshing popout window work clicking go atlassian button leads dead link,bug,Medium,General,Closed
app freezes displays responding titlebar constantly,latest update made sourcetree windows resulted app constantly freezing displaying responding titlebar occurs almost every time try use app never done latest update,bug,High,General,Needs Triage
sourcetree,adding large number files sourcetree remain responding long time choose submissionhowever files loaded completely sourcetree seems goes well next time choose submission problem comes tried use github desktop show submission history problem didnt happen appit seems bad logic loading files code plan fix,bug,Low,Git,Needs Triage
sourcetree crashs soon start,application crashes seconds starting repeated attempts application eventually start without crashing using sourcetree windows build error message logerror sourcetreeapp log exception thrown taskschedulersystemthreadingtaskstaskschedulerexception exception thrown taskscheduler systemnullreferenceexception object reference set instance object sourcetreeutilspriorityschedulerqueuetasktask task systemthreadingtaskstaskscheduleandstartboolean needsprotection end inner exception stack trace systemthreadingtaskstaskscheduleandstartboolean needsprotection systemthreadingtaskstaskinternalstartnewtask creatingtask delegate action object state cancellationtoken cancellationtoken taskscheduler scheduler taskcreationoptions options internaltaskoptions internaloptions stackcrawlmark stackmark systemthreadingtaskstaskfactorystartnewaction action cancellationtoken cancellationtoken taskcreationoptions creationoptions taskscheduler scheduler sourcetreeviewmodelbookmarksbookmarkspanelviewmodelcdisplayclassrefreshrepositorysummarybbookmarknode item sourcetreeutilsextensionscdisplayclassforeachasyncbdmovenext end stack trace previous location exception thrown systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask task systemruntimecompilerservicestaskawaitergetresult sourcetreeviewmodelbookmarksbookmarkspanelviewmodelrefreshrepositorysummarydmovenext end stack trace previous location exception thrown systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask task systemruntimecompilerservicestaskawaitergetresult sourcetreeviewmodelbookmarksbookmarkspanelviewmodelinitasyncdmovenext end stack trace previous location exception thrown systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask task systemruntimecompilerservicestaskawaitergetresult sourcetreeviewbookmarksbookmarkspanelbookmarkspaneldatacontextchangeddmovenext end stack trace previous location exception thrown systemruntimeexceptionservicesexceptiondispatchinfothrow systemwindowsthreadingexceptionwrapperinternalrealcalldelegate callback object args int numargs systemwindowsthreadingexceptionwrappertrycatchwhenobject source delegate callback object args int numargs delegate catchhandler,bug,Highest,General,Needs Triage
sourcetree crashes shortly launching application,currently cant use sourcetree windows application workstation issued company application installs simply closes couple seconds launched behavior identical three workstations sourcetree evaluatedwindows hardware specifics th gen intelr coretm ih gb ram windows pro hos build installation defaults selected throughout following error occurs imagepngafter clicking cancel installer appears download mercurial second attempt successful apparentlyafter installation completes attempting launch sourcetree crashes sourcetreelog following recordst loghost initializing normal modeerror sourcetreenotificationsnotificationsmanager log unable set owner parent visible nonexistenterror sourcetreeapp log failed startsystemcomponentmodelwinexception x access denied systemdiagnosticsprocessstartwithshellexecuteexprocessstartinfo startinfo systemdiagnosticsprocessstartprocessstartinfo startinfo sourcetreesecuritypageantsshkeyagentlaunchboolean promptforkeyifblank string keyfile sourcetreesecuritydefaultsshkeymanagerlaunchsshagentboolean promptforkeyifblank string keyfile sourcetreesecuritydefaultsshkeymanagerlaunchsshagentboolean promptforkeyifblank sourcetreeapprootonboardifrequired sourcetreeapprootonstartupdmovenext end stack trace previous location exception thrown systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask task systemruntimecompilerservicestaskawaitergetresult sourcetreeapponstartupdmovenexterror sourcetreeapp log access deniedsystemcomponentmodelwinexception x access denied systemdiagnosticsprocessstartwithshellexecuteexprocessstartinfo startinfo systemdiagnosticsprocessstartprocessstartinfo startinfo sourcetreesecuritypageantsshkeyagentlaunchboolean promptforkeyifblank string keyfile sourcetreesecuritydefaultsshkeymanagerlaunchsshagentboolean promptforkeyifblank string keyfile sourcetreesecuritydefaultsshkeymanagerlaunchsshagentboolean promptforkeyifblank sourcetreeapprootdostartuptasksafterfirstwindowdisplayed sourcetreemainwindowoncontentrenderedeventargs e systemwindowswindowpostcontentrenderedbobject unused systemwindowsthreadingexceptionwrapperinternalrealcalldelegate callback object args int numargs systemwindowsthreadingexceptionwrappertrycatchwhenobject source delegate callback object args int numargs delegate catchhandlererror sourcetreeapp log access deniedsystemcomponentmodelwinexception x access denied systemdiagnosticsprocessstartwithshellexecuteexprocessstartinfo startinfo systemdiagnosticsprocessstartprocessstartinfo startinfo sourcetreesecuritypageantsshkeyagentlaunchboolean promptforkeyifblank string keyfile sourcetreesecuritydefaultsshkeymanagerlaunchsshagentboolean promptforkeyifblank string keyfile sourcetreesecuritydefaultsshkeymanagerlaunchsshagentboolean promptforkeyifblank sourcetreeapprootdostartuptasksafterfirstwindowdisplayed sourcetreemainwindowoncontentrenderedeventargs e systemwindowswindowpostcontentrenderedbobject unused systemwindowsthreadingexceptionwrapperinternalrealcalldelegate callback object args int numargs systemwindowsthreadingexceptionwrappertrycatchwhenobject source delegate callback object args int numargs delegate catchhandlererror sourcetreeapp log access denied application terminatingsystemcomponentmodelwinexception x access denied systemdiagnosticsprocessstartwithshellexecuteexprocessstartinfo startinfo systemdiagnosticsprocessstartprocessstartinfo startinfo sourcetreesecuritypageantsshkeyagentlaunchboolean promptforkeyifblank string keyfile sourcetreesecuritydefaultsshkeymanagerlaunchsshagentboolean promptforkeyifblank string keyfile sourcetreesecuritydefaultsshkeymanagerlaunchsshagentboolean promptforkeyifblank sourcetreeapprootdostartuptasksafterfirstwindowdisplayed sourcetreemainwindowoncontentrenderedeventargs e systemwindowswindowpostcontentrenderedbobject unused systemwindowsthreadingexceptionwrapperinternalrealcalldelegate callback object args int numargs systemwindowsthreadingexceptionwrappertrycatchwhenobject source delegate callback object args int numargs delegate catchhandler systemwindowsthreadingdispatcheroperationinvokeimpl msinternalculturepreservingexecutioncontextcallbackwrapperobject obj systemthreadingexecutioncontextruninternalexecutioncontext executioncontext contextcallback callback object state boolean preservesyncctx systemthreadingexecutioncontextrunexecutioncontext executioncontext contextcallback callback object state boolean preservesyncctx systemthreadingexecutioncontextrunexecutioncontext executioncontext contextcallback callback object state msinternalculturepreservingexecutioncontextrunculturepreservingexecutioncontext executioncontext contextcallback callback object state systemwindowsthreadingdispatcheroperationinvoke systemwindowsthreadingdispatcherprocessqueue systemwindowsthreadingdispatcherwndprochookintptr hwnd int msg intptr wparam intptr lparam boolean handled mswinhwndwrapperwndprocintptr hwnd int msg intptr wparam intptr lparam boolean handled mswinhwndsubclassdispatchercallbackoperationobject systemwindowsthreadingexceptionwrapperinternalrealcalldelegate callback object args int numargs systemwindowsthreadingexceptionwrappertrycatchwhenobject source delegate callback object args int numargs delegate catchhandler systemwindowsthreadingdispatcherlegacyinvokeimpldispatcherpriority priority timespan timeout delegate method object args int numargs mswinhwndsubclasssubclasswndprocintptr hwnd int msg intptr wparam intptr lparam mswinunsafenativemethodsdispatchmessagemsg msg systemwindowsthreadingdispatcherpushframeimpldispatcherframe frame systemwindowsapplicationrundispatcherobject ignore systemwindowsapplicationruninternalwindow window sourcetreeappmainwe tried several older versions including v v issue closingcrashing couple seconds launchcould please provide workaroundfix thanks,bug,Highest,Bitbucket,Needs Triage
pull push fails atlassian logon window opens sourcetree push,pushing sourcetree v repo last worked jan results ingit c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks push v tags origin mastermasterlogon failed use ctrlc cancel basic credential promptpushing errors see abovenote even though message indicates completed errors logged bitbucket via browser pushes recorded jan using terminal screen appending ctrlc suggested opens atlassian login window password entered returns error broken pipe,bug,High,Bitbucket,Needs Triage
left zone sourcetree workspace list branches scroll top refresh,left zone sourcetree workspace list branchesif long list branches exist scroll selected last branch scroll bottom select another branch see selected branch list refreshed scroll top refresh,bug,Low,General,Needs Triage
sort remote repositories dropdown list items,tens maybe hundreds user groupings hard orientate sortimagepngwidthheight,bug,Low,Bitbucket,Closed
file expands file name different selected custom action,im creating custom action run git command using batch file batch receives parameters repo sha file file supposed expand selected file name sourcetree right reason think bug file seems expand another file name makes batch file work unexpected file see image attached see selected file passed batch custom action libaccdb framed red lower part screen however file passed commonconfigappmsgsql framed red upper part screen real file another folder structure also visible image bottomim also attaching custom action definition referenceimagepng opinion could make batch behave unpredictably making custom actions almost unusable shame,bug,Low,Git,Needs Triage
maximized sourcetree window covers taskbar hidden taskbar left screen,windows taskbar set hide left side screen maximize sourcetree taskbar covered shoving mouse left side screen doesnt activate taskbar alttab another program use win key show taskbarh steps reproduce set windows task bar located left side screen automatically hide shove mouse pointer left side screen see taskbar appear open sourcetree maximize shove mouse onto left side screen see taskbar doesnt appear,bug,Medium,UX,Needs Triage
error creating pull request sourcetree,try create pull request sourcetree bitbucket cloud get following error message something went wrong error loading source branch web browserthe url sourcetree generates trying create pull request seems problem,bug,High,Bitbucket,Closed
diff view show mercurial repositories,select file history uncommitted changes dont see diff fileimagepng,bug,High,hg,Closed
sourcetree reproducable fails basic use case open working directory,git repo created linux border case file names possible unix including newlines file names unit teststry open working copy win mounted smbsourcetree stucks endless loop even refusing show file status normal source filessourcetreelogerror sourcetreeapp log ausnahmen einer aufgabe wurden nicht fcberwacht entweder wegen wartens auf die aufgabe oder wegen des zugriffs auf die ausnahmeeigenschaft daher wurde die nicht fcberwachte ausnahme vom finalizerthread erneut ausgelfstsystemaggregateexception ausnahmen einer aufgabe wurden nicht fcberwacht entweder wegen wartens auf die aufgabe oder wegen des zugriffs auf die ausnahmeeigenschaft daher wurde die nicht fcberwachte ausnahme vom finalizerthread erneut ausgelfst systemargumentexception illegales zeichen im pfad bei systemiopathcheckinvalidpathcharsstring path boolean checkadditional bei systemiopathcombinestring path string path bei sourcetreeutilstreehelperbuildtreefindparentfilestatustreeviewnode start string components filestatusentitytype foldertype nullable ischecked bei sourcetreeutilstreehelperbuildtreefindparentatrootlist tree string components filestatusentitytype foldertype nullable ischecked bei sourcetreeutilstreehelperflatfileentitylisttotreeienumerable records bei sourcetreeviewmodelchangesetsworkingcopychangesetviewmodelrefreshfilelistdmovenext ende der stapelfcberwachung vom vorhergehenden ort dem die ausnahme ausgelfst wurde bei systemruntimeexceptionservicesexceptiondispatchinfothrow bei systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask task bei systemruntimecompilerservicestaskawaitergetresult bei sourcetreeviewmodelchangesetsworkingcopychangesetviewmodelactivatebdmovenext ende der internen ausnahmestapelfcberwachung interne ausnahme systemargumentexception illegales zeichen im pfad bei systemiopathcheckinvalidpathcharsstring path boolean checkadditional bei systemiopathcombinestring path string path bei sourcetreeutilstreehelperbuildtreefindparentfilestatustreeviewnode start string components filestatusentitytype foldertype nullable ischecked bei sourcetreeutilstreehelperbuildtreefindparentatrootlist tree string components filestatusentitytype foldertype nullable ischecked bei sourcetreeutilstreehelperflatfileentitylisttotreeienumerable records bei sourcetreeviewmodelchangesetsworkingcopychangesetviewmodelrefreshfilelistdmovenext ende der stapelfcberwachung vom vorhergehenden ort dem die ausnahme ausgelfst wurde bei systemruntimeexceptionservicesexceptiondispatchinfothrow bei systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask task bei systemruntimecompilerservicestaskawaitergetresult bei sourcetreeviewmodelchangesetsworkingcopychangesetviewmodelactivatebdmovenext,bug,Low,General,Needs Triage
upgrade failing,tried upgrade new folder would created without files sourcetree would start deleting directory would work trying upgrade getting errormethod found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptions,bug,Low,General,Closed
diff panel showing changes,diff panel showing differences bottom right side versions version working fine,bug,High,Mercurial,Closed
sourcetree crashes trying clone repository,imagepngwhen set ulr git repository try clone sourcetree crashes closed without message error clone functionality work using sourcetree september version windows,bug,Low,Git,Gathering Impact
update sourcetree windows fails,error displayedmethod found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptionsafter receiving error message cancelling update existing version longer works sourcetree shortcut path must manually edited point subdirectory containing current version sourcetree launched,bug,Highest,General,Closed
wrong translation branch italian,hellothe action branch currently translated italian noun ramo consistency translated action italian verb diramare,bug,Low,General,In Progress
cant start sourcetree updating,try upgrade got error cant start sourcetree,bug,Highest,General,Closed
error updating,update get following errormethod found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptions,bug,Low,General,Closed
sourcetree showing diff says select file view diff,select modified file diff isnt shown adjacent pane says select file view diff even though selected file files correctly show diff others dontim latest versionimagepng,bug,Medium,Mercurial,Short Term Backlog
digital certificate validity period expired,digital certificate validity period expired th nov causing alerts security monitoring software use please see attached screen shot fresh install downloaded installed today main website imagepng,bug,Medium,General,Closed
interactive rebase window keeps resizing,behavior extremely annoying interactive rebase window resizes whenever select commit practical use case makes nearly impossible quickly squash commits using buttons buttons keep moving please remove behavior make window resizable instead,bug,Low,General,Needs Triage
signing certificate expired,certificate used sign executables sourcetree expiredimagepngthumbprint fecefbdbbdacaecccethe executables appear timestamp associated result signing expiredimagepngmy organisation uses application restriction policy whitelisting allowing specific executables launch common configuration enterprise environments process create individual hashbased rules allow executables run shorttermcan next release sourcetree please signed renewed certificate files include timestamp,bug,High,General,Closed
cannot upgrade,trying upgrade get errormy system windows upgraded windows pro windows miss net api required upgradingimagepng,bug,Low,General,Closed
sourcetree seems positive agenttesla,hi atlassian teamvirustotal marks sourcetree setup file version positive agenttesla please check verify sideregardsyavor hristov,bug,Medium,Git,Closed
sourcetree installer failed start systemmanagementmanagementexception invalid class,h issue summarythis reproducible data center yes noh steps reproduce sourcetree launch community ticket issue expected resultssourcetree launch without errorh actual resultsthe exception thrown xxxxxxxlog filenoformaterror sourcetreemodelrepository log repository existerror sourcetreeapp log failed startsystemmanagementmanagementexception invalid classat systemmanagementmanagementexceptionthrowwithextendedinfomanagementstatus errorcodeat systemmanagementmanagementobjectcollectionmanagementobjectenumeratormovenextat sourcetreeuithemewpfutilitiesnativehelpergetwindowsversionat sourcetreeuithemewpfcontrolspermonitordpiwindowonsourceinitializedeventargs eat systemwindowswindowcreatesourcewindowboolean duringshowat systemwindowswindowshowhelperobject booleanboxat sourcetreeapprootonstartupdmovenext end stack trace previous location exception thrown systemruntimeexceptionservicesexceptiondispatchinfothrowat systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationtask taskat systemruntimecompilerservicestaskawaitergetresultat sourcetreeapponstartupdmovenext noformath workaroundwmi service need configured properly,bug,High,Bitbucket,Closed
update,codejava void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptions code,bug,Highest,General,Closed
sourcetree support website links mac version suggestions bugs,really tiny issue easy fix guess first thought app menu item issue jirapage needing extra button windows vs mac versions problemwhen sourcetree windows go menu help sourcetree support website go click button view suggestions bugs links mac version im coming windows app solutionis possible add extra button sourcetree support website two buttons affixed link locations view suggestions bugs mac version view suggestions bugs windows version imagepng,bug,Low,Web,Closed
update fails sourcetree,error clicking yellow flag update imagepng,bug,Low,General,Closed
test bug,test bug,bug,Highest,Bitbucket,Closed
source tree application crashes opening,downloading logged bitbucket option steps later asked ssh key clicked completing step source tree always crashing upon opening,bug,Highest,Bitbucket,Needs Triage
source tree application crashes opening,downloading logged bitbucket option steps later asked ssh key clicked completing step source tree always crashing upon opening,bug,Highest,Bitbucket,Closed
sorcetree installing,multiple users need source tree installing run install get flash sorcetree logo desktop shortcut work flashes tried removing sorcetree atlassian files localadppdata reinstalling luck also restarted services windows management instrumentation clearing repository pclaptop issue multiple installs issue included kind regardschristopher deanitcs engineer,bug,High,General,Gathering Impact
cannot update sourcetree,sourcetree v shows notification update latest version show error quotemethod found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptionsquote imagepngimagepngi tried start sourcetree administrator help,bug,Low,General,Closed
update fails method found exception,updating version fails following messagecodejavamethod found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptions codeas result failure get empty app folder prevents starting sourcetree point onward need manually remove folder get sourcetree working please advise update new version without issues steps reproduce start sourcetree version wait update icon top right appear click icon click button update version wait popup appear stating error message described aboveenvironment sourcetree windows version windows pro h also happened version updated last saturday build hardware intel h gb ram gb ssd gb availableattachmentsimagepngimagepng,bug,Medium,General,Closed
pull button causing issue unable pull changes,pull button causing issue unable pull team member commit changes due hold project please help sorting,bug,Low,Bitbucket,Gathering Impact
wake sleep,leave sourcetree overnight next morning click app taskbar wont show rightclick close start new one,bug,Medium,General,Needs Triage
onprem devops repo wont connect,onprem devops repo trying clone repo never connects server read article connect sourcetree azure devops server stack overflow found cant add account clone trying cloning never connects got popup tried wincre helper doesnt work please assist imagepng,bug,Medium,Git,Needs Triage
software update fails,method found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptions,bug,High,General,Closed
update v fails,ive notified inside srctree update v trying always results error method found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptions tried several times several systems win always result,bug,Medium,General,Closed
update work v v,error update processmethod found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptionsimagepng,bug,Low,General,Closed
update crashes leaves sourcetree unusable,get message missing methodmethod found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptionsand sourcetree fails startyes realise youve several reports issued workround youve closed obviously idea much going upset usersyou remove update youve created something update thats possible change location updater send email users advising manually update instructions soi know mistakes happen way youre dealing one professional,bug,Highest,General,Closed
update impossible,hi cant update sourcetree windows inside application following errornoformatmthode introuvable void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptionsnoformati use version app bug missing permission compagny thanks,bug,High,General,Closed
source tree install fails,method found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptions,bug,High,General,Closed
portablegcmstz,hii cannot install sourcetreeunable extract cusersxxxappdatalocalatlassiansourcetreeportablegcmstzsystemnetwebexception unable connect remote server systemnetsocketssocketexception connection attempt failed connected party properly respond period time established connection failed connected host failed respond get blocked firewall,bug,High,Git,Needs Triage
update fails,hi support teami sourcetree windows version latest available main siteim trying update version since message tells update availableimagepngif click update button following message appearsimagepngerrorimpossible find method void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptionsafter clicking cancel update message course doesnt dispear subsequently close sourcetree next time try run wont startso reinstall version latest available main site loop starts pointi find two problems latest version available site fix problem version provide workaroundan alternative would simply list known issue redirect main site download version please let know think issue,bug,Highest,General,Closed
upgrade fails windows,method found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptions,bug,High,General,Closed
error messagebox shown conflicts git cherry pick,use get cherry pick conflicts error message box shownprevious version displays error message box case,bug,Low,General,Closed
cascadia code selected font weight ignored,cascadia code font initially installed windows terminal latest version installedupdated independentlyit seems sourcetree diff viewer doesnt honor selected font weight style matterscreenshotthe used font weight always appears extralight top listfwiw im seeing enable syntax highlighting available languages option checked unchecked,bug,Low,UX,Short Term Backlog
log selected specify selected revision commandline well,looking process viewerlog log selected ctrlshiftl action appears issue git command likenoformatgit log format decoratefull dateiso selectedpathnoformatif selectedpath removed later revision current branch present head revision added revision different branch log shown turns empty log selected action also specify selected commitrevision git command line likenoformatgit log format decoratefull dateiso selectedcommit selectedpathnoformatthis always show history selected file leading commit file selected regardless current branchhead gitlog revisionrange specifying ranges,bug,Low,Git,Needs Triage
mercurial push changes immediatly default always grayed,checkbox never available even tick file write commit messageafter committing use push button,bug,Medium,Mercurial,Needs Triage
sourcetreeappcom web site points wrong version,download windows link points point,bug,High,Web,Closed
update crashes,get following error selected update method found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptions,bug,Medium,General,Closed
window position restored higher shut,screens k positioned top screens text scaling bottom screen text scaling smaller laptop screen still ki place sourcetree screen bottom half close sourcetree reopen sourcetree opens substantially higher screen twice without moving window open partially outside screen title bar inaccessible use altspace move itif screen retains position may related different text scaling screen,bug,Low,General,Needs Triage
cant download latest update,get message sourcetree saying new sourcetree update available download press update button seconds get messagebox popup title error sayingthere error update processthe method wasnt found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptionsimagepng option press cancel button update never takes place,bug,Medium,General,Closed
bad line length error since latest sourcetree update,hello everyonethe latest sourcetree update v introduced new bug stopping working sourcetree git repos set raspberry pi local network previous sourcetree version able connect setting remote codejavarootrootusbdrvmyprojectcodewhich git repo raspberry pi static ip ssh course still enablednow since version v whenever try connect origin via fetch pull push get following errorimagepngas far understand root line actually beginning remote path working prior update dont know error message actually wants tell meusing git via command line still works tried gui clients also work expected believe issue sourcetreebest regardsdavid,bug,Medium,Git,Gathering Impact
fake version sourcetree,version installed app windows shows update clcikin updating return issuemethod found void sharpcompressreadersireaderextensionswriteentrytofilesharpcompressreadersireader systemstring sharpcompressreadersextractionoptions sourcetree stops running fix need find sourcee tree folder local delete app folder additional app folder also empty,bug,Highest,General,Closed
resolving conflicts multiple files resolves top file,files unstaged files section want keep version instead resolving individually select files rightclick resolve conflicts resolve using mine top file selected gets resolved every file bad user interface bug,bug,Medium,Git,Closed
authentication error stash bitbucket server,changed password company ad since authentication errors trying fetching cloningi tried delete authentications source tree also windows credentials added passwords still failed sourcetree connected stash server bitbucket server git c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks fetch notags originfatal authentication failed,bug,Highest,Bitbucket,Gathering Impact
useless popup keep coming back heroku login,popup keep coming backi updated system git change setting sourcetree use either system embedded git,bug,High,UX,Closed
